# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
yi zhi mei wen ni 	一直沒問你	c=1 d=1 t=2878
yi zhi yu 	以至於	c=1 d=1 t=26773
yi zhi zai 	一直在	c=1 d=1 t=20325
yi zhong 	一種	c=8 d=1.88963 t=27059
yi zu 	一組	c=4 d=1.90486 t=25980
yin cang 	隱藏	c=1 d=1 t=8713
yin ci 	因此	c=3 d=1.00001 t=15425
yin hang 	銀行	c=2 d=1 t=20480
yin hang ka 	銀行卡	c=2 d=1.30119 t=11364
yin qi 	引起	c=7 d=2.30957 t=20107
yin qing 	引擎	c=3 d=1 t=24108
yin ru 	引入	c=2 d=1 t=21374
yin shi 	隱式	c=4 d=3.12755 t=12921
yin si 	隱私	c=1 d=1 t=25328
yin wei 	因爲	c=30 d=1.27527 t=29446
yin xiang 	印象	c=1 d=1 t=23481
yin yong 	引用	c=8 d=1.56519 t=21416
yin yue 	音樂	c=3 d=1.03968 t=25320
yin zhi 	印製	c=1 d=1 t=24005
yin zi 	因子	c=1 d=1 t=28836
yin zi 	銀子	c=1 d=1 t=28835
ying 	應	c=2 d=1 t=13670
ying da 	應答	c=2 d=1.13003 t=18758
ying gai 	應該	c=41 d=1.00012 t=28864
ying gai bu shi 	應該不是	c=1 d=1 t=8473
ying gai shi 	應該是	c=5 d=1 t=23555
ying jian 	硬件	c=9 d=1 t=28040
ying pan 	硬盤	c=1 d=1 t=9698
ying she 	映射	c=16 d=1 t=26638
ying sheng sheng 	硬生生	c=1 d=1 t=21650
ying wen 	英文	c=1 d=1 t=9197
ying xiang 	影響	c=10 d=1 t=28014
ying yong 	應用	c=8 d=0.1 t=28164
ying yong cheng xu 	應用程序	c=2 d=1.00089 t=25790
ying yong ming cheng 	應用名稱	c=2 d=1.95123 t=28175
ying yu 	英語	c=1 d=1 t=23458
ying zhe 	硬着	c=1 d=1 t=7486
ying zi 	影子	c=2 d=1.99005 t=19709
yong 	用	c=75 d=1.12778 t=29400
yong chu 	用處	c=1 d=1 t=28543
yong cuo 	用錯	c=1 d=1 t=27499
yong cuo le 	用錯了	c=1 d=1 t=20062
yong dao 	用到	c=5 d=1 t=29206
yong de 	用的	c=1 d=1 t=5179
yong guo 	用過	c=3 d=1.00004 t=28881
yong hu 	用戶	c=111 d=1.50018 t=29165
yong hu ming 	用戶名	c=4 d=1.00275 t=22984
yong lai 	用來	c=5 d=1.0004 t=24044
yong ni 	用你	c=1 d=1 t=1873
yong yi 	用以	c=3 d=1.00012 t=20265
yong yu 	用於	c=4 d=1.96711 t=15716
yong yuan 	永遠	c=2 d=1.84789 t=7120
you 	又	c=19 d=1.00718 t=28891
you 	有	c=195 d=1.20704 t=29543
you 	由	c=12 d=1.85826 t=25906
you bian 	右邊	c=1 d=1 t=25138
you dai 	有待	c=1 d=1 t=3392
you dai shang que 	有待商榷	c=1 d=1 t=3264
you de 	有的	c=9 d=1 t=23562
you de shi 	有的是	c=1 d=1 t=29124
you dian 	有點	c=16 d=1.8066 t=29110
you dian leng 	有點冷	c=1 d=0.100467 t=1802
you feng 	有風	c=1 d=1 t=29069
you fu hao 	有符號	c=5 d=1.02489 t=27661
you ge 	有個	c=7 d=1 t=24908
you ge wen ti 	有個問題	c=3 d=1 t=18785
you guan 	有關	c=1 d=1 t=15867
you guan xi 	有關係	c=1 d=1 t=2186
you hao 	友好	c=2 d=1.02423 t=1708
you hao chi 	有好喫	c=1 d=1 t=20719
you hua 	優化	c=11 d=1.94649 t=29358
you hui 	優惠	c=1 d=1 t=20523
you ji ge 	有幾個	c=1 d=1 t=22170
you ji hui 	有機會	c=1 d=1 t=23762
you jian 	郵件	c=4 d=2.94288 t=28622
you jiang 	有獎	c=6 d=4.3627 t=9943
you jiang wen da 	有獎問答	c=30 d=1.96144 t=26576
you ke neng 	有可能	c=2 d=1 t=27054
you kong 	有空	c=2 d=1 t=18934
you me 	有麼	c=1 d=1 t=11812
you mei you 	有沒有	c=7 d=1 t=26444
you men 	油門	c=0 d=0.1 t=16040
you men luo xuan gan jun 	油門螺旋桿菌	c=1 d=1 t=16041
you qi 	尤其	c=1 d=1 t=13753
you qian 	有錢	c=1 d=1 t=24406
you ren 	有人	c=3 d=1.45158 t=11877
you sha 	有啥	c=1 d=1 t=28220
you shen me 	有什麼	c=5 d=1.00004 t=29043
you shi 	優勢	c=2 d=1.00417 t=16543
you shi 	有事	c=2 d=1 t=22513
you shi 	有時	c=1 d=1 t=12495
you shi hou 	有時候	c=4 d=1.09778 t=26196
you shi jian 	有時間	c=13 d=1 t=29036
you shi jian me 	有時間麼	c=1 d=1 t=3477
you shou bian 	右手邊	c=3 d=2.73676 t=7899
you suo 	有所	c=1 d=1 t=12195
you wen ti 	有問題	c=5 d=1 t=19066
you wu 	有無	c=1 d=1 t=11952
you wu 	有誤	c=2 d=1.06266 t=29429
you xi 	遊戲	c=1 d=1.07531 t=21478
you xi shu biao 	遊戲鼠標	c=1 d=1 t=21479
you xian 	優先	c=1 d=1 t=746
you xian 	有限	c=3 d=1.13199 t=27447
you xian ji 	優先級	c=6 d=3.45442 t=19034
you xiang 	郵箱	c=6 d=1 t=27591
you xiao 	有效	c=6 d=1.99577 t=28298
you xiao wei 	有效位	c=1 d=1 t=26682
you xie 	有些	c=3 d=1 t=28760
you xie ku 	有些庫	c=1 d=1 t=14600
you xie ren 	有些人	c=3 d=1.03916 t=13345
you xu 	有序	c=1 d=1 t=28658
you ya 	優雅	c=0 d=0.1 t=16931
you yi 	有一	c=0 d=0.1 t=4107
you yi ci 	有一次	c=1 d=1 t=7347
you yi ge 	有一個	c=7 d=1 t=27422
you yi jian 	有一間	c=1 d=1 t=4108
you yi xie 	有一些	c=2 d=1 t=14520
you yi yi 	有意義	c=1 d=1 t=10969
you yong 	有用	c=3 d=1.00002 t=13001
you yu 	猶豫	c=1 d=1 t=16260
you yu 	由於	c=19 d=1 t=26249
you zhu yu 	有助於	c=1 d=1 t=18305
yu 	域	c=7 d=1.50341 t=28060
yu 	於	c=1 d=1 t=18246
yu 	渝	c=2 d=1 t=28408
yu 	與	c=21 d=1.09699 t=29296
yu 	雨	c=1 d=1 t=25124
yu 	預	c=0 d=0.1 t=23805
yu 	魚	c=1 d=1 t=20508
yu bian yi 	預編譯	c=1 d=1 t=23806
yu chu li 	預處理	c=2 d=1.92789 t=23668
yu chu li qi 	預處理器	c=1 d=1 t=23669
yu dao 	遇到	c=8 d=1.00028 t=26911
yu ding 	預訂	c=1 d=1 t=9977
yu fa 	語法	c=7 d=1.5771 t=13116
yu jia 	瑜伽	c=1 d=1 t=2205
yu jian 	遇見	c=1 d=1 t=2688
yu ju 	語句	c=4 d=0.98692 t=19780
yu lan 	預覽	c=5 d=2.96092 t=9758
yu liang 	餘量	c=4 d=1.9802 t=20551
yu qi 	預期	c=1 d=1 t=13600
yu she 	預設	c=1 d=1 t=12438
yu wei 	譽爲	c=1 d=1 t=783
yu yan 	語言	c=18 d=1.00011 t=29546
yu yi 	語義	c=1 d=1 t=13496
yu yue 	預約	c=11 d=1 t=22055
yuan 	元	c=21 d=1 t=27546
yuan 	原	c=4 d=2.50215 t=4554
yuan 	園	c=2 d=1.96561 t=20321
yuan 	媛	c=2 d=1 t=17317
yuan 	源	c=3 d=1 t=19721
yuan 	遠	c=3 d=1 t=24169
yuan bi 	遠比	c=1 d=1 t=28041
yuan cheng 	遠程	c=1 d=1 t=1682
yuan gong 	員工	c=1 d=1 t=2663
yuan jia 	原價	c=1 d=1 t=4750
yuan lai 	原來	c=5 d=1 t=28574
yuan li 	原理	c=8 d=4.08989 t=29445
yuan li xing 	原理性	c=1 d=1 t=9664
yuan ma 	源碼	c=2 d=1 t=9097
yuan pan 	圓盤	c=1 d=1 t=20192
yuan run 	圓潤	c=1 d=1 t=20188
yuan sheng 	原生	c=13 d=1 t=28415
yuan sheng lei xing 	原生類型	c=1 d=1 t=12220
yuan shi 	原始	c=6 d=1 t=23661
yuan shi zhi 	原始值	c=1 d=1 t=12381
yuan su 	元素	c=2 d=1 t=28657
yuan tou 	源頭	c=1 d=1 t=27116
yuan wen jian 	源文件	c=1 d=1 t=23612
yuan xian 	原先	c=1 d=1 t=4395
yuan xing 	原型	c=3 d=1.01207 t=12489
yuan xing lian 	原型鏈	c=1 d=1 t=11379
yuan yi 	願意	c=1 d=1 t=4593
yuan yin 	原因	c=11 d=1.00018 t=21627
yuan yuan 	遠遠	c=2 d=1 t=14111
yuan ze 	原則	c=7 d=1.80149 t=29444
yuan zi 	原子	c=0 d=0.1 t=13251
yuan zi 	源自	c=1 d=1 t=11546
yuan zi xing 	原子性	c=1 d=1 t=13252
yue 	悅	c=1 d=1 t=26449
yue 	月	c=18 d=0.1 t=19135
yue 	約	c=12 d=2.58825 t=29568
yue ding 	約定	c=2 d=1.97045 t=15675
yue ka 	月卡	c=2 d=1.00857 t=10350
yue lai yue 	越來越	c=1 d=1 t=13470
yue lai yue gui 	越來越貴	c=1 d=1 t=11085
yue ling 	月齡	c=1 d=1 t=1431
yue shu 	約束	c=1 d=1 t=29144
yun 	暈	c=1 d=1 t=20623
yun 	雲	c=9 d=1 t=28373
yun dong 	運動	c=2 d=1 t=28350
yun fei 	運費	c=1 d=1 t=27141
yun pan 	雲盤	c=2 d=1 t=23319
yun suan 	運算	c=26 d=1.12328 t=29402
yun suan fu 	運算符	c=4 d=3.68136 t=12641
yun xing 	運行	c=7 d=1.01105 t=25062
yun xu 	允許	c=1 d=1 t=26698
yun ying 	運營	c=1 d=1 t=18072
yun yong 	運用	c=0 d=0.1 t=24268
za 	咋	c=37 d=1.00002 t=28218
za ban 	咋辦	c=3 d=1 t=22844
za de 	匝地	c=1 d=1 t=24408
za hui shi 	咋回事	c=3 d=1 t=21792
za yang 	咋樣	c=3 d=1.10312 t=7494
za zheng 	咋整	c=2 d=1 t=18743
zai 	仔	c=1 d=1 t=16788
zai 	再	c=74 d=2.10544 t=29476
zai 	在	c=197 d=1.05292 t=28928
zai bu 	在不	c=2 d=1 t=4384
zai duo 	再多	c=1 d=1 t=12848
zai jian 	再見	c=1 d=1 t=8244
zai kan kan 	再看看	c=1 d=1 t=20758
zai na 	在哪	c=1 d=1 t=21686
zai shuo 	再說	c=6 d=0.103167 t=25020
zai shuo ba 	再說吧	c=1 d=1 t=4934
zai xian 	在線	c=4 d=1.00173 t=26986
zai xian shi chang 	在線時長	c=1 d=1 t=26159
zai xiang 	在想	c=0 d=0.1 t=1488
zai yu 	在於	c=2 d=1.53794 t=15448
zan 	咱	c=12 d=1 t=28122
zan cun 	暫存	c=1 d=1 t=10223
zan lia 	咱倆	c=2 d=1 t=28145
zan men 	咱們	c=13 d=1.00081 t=29532
zan shi 	暫時	c=4 d=1 t=29024
zang 	髒	c=1 d=1 t=25268
zao 	早	c=3 d=1.10228 t=7452
zao dian 	早點	c=7 d=1.67032 t=23719
zao jia 	造價	c=1 d=1 t=24168
zao lai 	早來	c=2 d=1 t=23710
zao shang 	早上	c=14 d=1 t=28494
zao wan 	早晚	c=2 d=1 t=7078
zao zou 	早走	c=1 d=1 t=23711
ze 	則	c=8 d=1 t=28427
ze 	澤	c=1 d=0.1 t=24696
ze hui 	則會	c=1 d=1 t=12010
ze shi 	則是	c=2 d=1.11304 t=24448
zen me 	怎麼	c=22 d=1.00714 t=29232
zen me chi 	怎麼喫	c=1 d=1 t=17829
zen me fa zhan 	怎麼發展	c=1 d=1 t=23778
zen me gao 	怎麼搞	c=1 d=1 t=23021
zen me hui shi 	怎麼回事	c=1 d=1 t=27349
zen me jia mi 	怎麼加密	c=1 d=1 t=10482
zen me shuo 	怎麼說	c=0 d=0.1 t=21258
zen me suan 	怎麼算	c=2 d=1 t=27525
zen me yang 	怎麼樣	c=16 d=1.65634 t=27304
zen yang 	怎樣	c=5 d=1 t=24481
zeng jia 	增加	c=2 d=1 t=11272
zeng song 	贈送	c=2 d=1.98511 t=25211
zha 	扎	c=1 d=1 t=13713
zha 	眨	c=1 d=1 t=24418
zha ke 	扎克	c=1 d=1 t=13722
zha pian 	詐騙	c=4 d=3.53277 t=8481
zha shi 	紮實	c=2 d=1.05931 t=29464
zhan 	棧	c=0 d=0.1 t=10964
zhan 	站	c=0 d=0.1 t=27315
zhan man 	佔滿	c=1 d=1 t=22774
zhan shi 	展示	c=9 d=1 t=28434
zhan wei 	佔位	c=1 d=1 t=13851
zhan yong 	佔用	c=6 d=1 t=28843
zhang 	張	c=3 d=1.89583 t=27180
zhang 	漲	c=2 d=1.03439 t=7523
zhang 	長	c=1 d=1 t=1264
zhang da 	長大	c=2 d=1.98511 t=29472
zhang hao 	帳號	c=7 d=1 t=28313
zhang jia 	漲價	c=1 d=1 t=19453
zhang jie 	章節	c=1 d=1 t=13730
zhang shang 	掌上	c=2 d=1.80252 t=28134
zhang shang sheng huo 	掌上生活	c=1 d=1 t=20521
zhang wo 	掌握	c=0 d=0.1 t=22211
zhang wo cheng du 	掌握程度	c=1 d=1 t=22212
zhang zhang 	張張	c=1 d=1 t=29471
zhao 	兆	c=1 d=1 t=25557
zhao 	找	c=16 d=1.00004 t=22317
zhao 	招	c=3 d=1.46767 t=16427
zhao 	照	c=2 d=1 t=21656
zhao bu dao 	找不到	c=6 d=1 t=23726
zhao dao 	找到	c=8 d=1 t=28267
zhao ge 	找個	c=1 d=1 t=15869
zhao ge shi jian 	找個時間	c=1 d=1 t=4650
zhao ge zhou mo 	找個週末	c=1 d=1 t=7658
zhao hu 	招呼	c=1 d=1 t=20384
zhao ji 	着急	c=2 d=1.0048 t=20354
zhao liang 	照亮	c=1 d=1 t=18763
zhao liang 	着涼	c=1 d=1 t=18764
zhao ni 	找你	c=7 d=1.00022 t=19305
zhao ni liao liao 	找你聊聊	c=1 d=1 t=4377
zhao pian 	照片	c=25 d=1.07145 t=28387
zhao pin 	招聘	c=1 d=1 t=23464
zhao ren 	招人	c=1 d=1 t=5542
zhao shang 	招商	c=1 d=1 t=20479
zhao xiang guan 	照相館	c=1 d=1 t=21668
zhao yi ge 	找一個	c=1 d=1 t=5966
zhao zhao 	找找	c=10 d=1.00217 t=21244
zhao zhao kan 	找找看	c=1 d=1 t=16073
zhe 	折	c=1 d=1 t=28094
zhe 	着	c=32 d=1.02265 t=29116
zhe 	者	c=1 d=1 t=24226
zhe 	這	c=84 d=1.29019 t=29530
zhe ben shu 	這本書	c=2 d=1.96079 t=9677
zhe bian 	這邊	c=9 d=1.05234 t=29533
zhe bu 	這不	c=4 d=1 t=10379
zhe bu shi 	這不是	c=1 d=1 t=20737
zhe ci 	這次	c=8 d=1.00756 t=18093
zhe dao hao 	這倒好	c=1 d=1 t=21705
zhe dong xi 	這東西	c=1 d=1 t=574
zhe duan 	這段	c=2 d=1 t=28503
zhe ge 	這個	c=174 d=1.46164 t=29521
zhe ge ban ben 	這個版本	c=1 d=1 t=5747
zhe ge biao 	這個標	c=1 d=1 t=25094
zhe ge gong neng 	這個功能	c=1 d=1 t=6748
zhe ge gong si 	這個公司	c=1 d=1 t=23772
zhe ge han shu 	這個函數	c=2 d=1 t=18377
zhe ge jie kou 	這個接口	c=1 d=1 t=22973
zhe ge jiu shi 	這個就是	c=1 d=1 t=20118
zhe ge li zi 	這個例子	c=1 d=1 t=26099
zhe ge mo shi 	這個模式	c=2 d=1.93239 t=16758
zhe ge shi hou 	這個時候	c=1 d=1 t=12853
zhe ge shou ji hao 	這個手機號	c=1 d=1 t=16701
zhe ge shu ju ku 	這個數據庫	c=1 d=1 t=22075
zhe ge wen dang 	這個文檔	c=1 d=1 t=4040
zhe ge wen jian 	這個文件	c=0 d=0.1 t=23811
zhe ge wen ti 	這個問題	c=4 d=1 t=23006
zhe ge wo yao 	這個我要	c=1 d=1 t=20951
zhe ge xu qiu 	這個需求	c=1 d=1 t=15763
zhe ge ye mian 	這個頁面	c=1 d=1 t=17631
zhe ge yi fu 	這個衣服	c=1 d=1 t=21065
zhe ge yu ju 	這個語句	c=1 d=1 t=19781
zhe ge zi duan 	這個字段	c=1 d=1 t=3391
zhe ge zu 	這個組	c=4 d=1.9802 t=19365
zhe hai 	這還	c=1 d=1 t=1405
zhe hang 	這行	c=1 d=1 t=7243
zhe ji ge 	這幾個	c=12 d=2.23733 t=29080
zhe ji tian 	這幾天	c=1 d=1 t=14758
zhe jiu 	這就	c=1 d=1 t=22146
zhe ju hua 	這句話	c=1 d=1 t=11577
zhe kuai 	這塊	c=10 d=1 t=28743
zhe lei 	這類	c=2 d=1 t=25276
zhe li 	這裏	c=39 d=1.9468 t=26897
zhe li shi 	這裏是	c=1 d=1 t=18624
zhe lia 	這倆	c=1 d=1 t=27016
zhe liang 	這兩	c=1 d=1 t=25113
zhe liang ci 	這兩次	c=1 d=1 t=23768
zhe liang ge 	這兩個	c=5 d=1.00074 t=28981
zhe liang ge han shu 	這兩個函數	c=1 d=1 t=16821
zhe liang ge zhuang tai 	這兩個狀態	c=1 d=1 t=2391
zhe liang nian 	這兩年	c=1 d=1 t=6847
zhe liang tian 	這兩天	c=2 d=1.00002 t=21261
zhe me 	這麼	c=7 d=1.02198 t=24983
zhe me chou 	這麼丑	c=1 d=1 t=924
zhe me duo 	這麼多	c=3 d=1 t=21793
zhe me gui 	這麼貴	c=1 d=1 t=4748
zhe me keng 	這麼坑	c=1 d=1 t=15911
zhe me kun 	這麼困	c=1 d=1 t=24681
zhe me man 	這麼慢	c=2 d=1 t=26214
zhe me tong kuai 	這麼痛快	c=1 d=1 t=9969
zhe me xie 	這麼些	c=2 d=1 t=7423
zhe pian 	這篇	c=2 d=1 t=17290
zhe ren 	這人	c=2 d=1.68729 t=2968
zhe san ge 	這三個	c=1 d=1 t=29235
zhe shi 	這是	c=10 d=1.02977 t=28413
zhe shi 	這時	c=4 d=1 t=23090
zhe shi ge 	這是個	c=1 d=1 t=18971
zhe shi na ge 	這是哪個	c=1 d=1 t=6759
zhe shi shen me 	這是什麼	c=0 d=0.1 t=26209
zhe shi shen me qing kuang 	這是什麼情況	c=1 d=1 t=26210
zhe teng 	折騰	c=2 d=1 t=19952
zhe tiao lu 	這條路	c=1 d=1 t=1735
zhe xie 	這些	c=12 d=1.88743 t=27106
zhe xie dai ma 	這些代碼	c=1 d=1 t=11775
zhe xie ku 	這些庫	c=1 d=1 t=14586
zhe xie wan yi 	這些玩意	c=1 d=1 t=11036
zhe xie zhi ling 	這些指令	c=1 d=1 t=23735
zhe yang 	這樣	c=45 d=1.00019 t=29175
zhe yang zuo 	這樣做	c=1 d=1 t=11555
zhe yao 	這要	c=0 d=0.1 t=23572
zhe yao shi 	這要是	c=1 d=1 t=23573
zhe ye shi 	這也是	c=1 d=1 t=14454
zhe ye shi ge 	這也是個	c=1 d=1 t=6092
zhe yi bu 	這一步	c=1 d=1 t=7081
zhe yi dian 	這一點	c=1 d=1 t=18537
zhe yi duan 	這一段	c=1 d=1 t=1745
zhe yi hang 	這一行	c=1 d=1 t=7235
zhe yi jing 	這已經	c=1 d=1 t=24701
zhe zhong 	這種	c=33 d=1.14093 t=27224
zhe zhong he bing 	這種合併	c=1 d=1 t=23825
zhe zhong qing kuang 	這種情況	c=2 d=1.99005 t=27648
zhe zhong ren 	這種人	c=2 d=1.56836 t=3870
zhe zhong wen ti 	這種問題	c=1 d=1 t=25788
zhe zhou 	這週	c=0 d=0.1 t=20375
zhe zhou qu 	這週去	c=1 d=1 t=20376
zhen 	真	c=6 d=1 t=21657
zhen 	針	c=3 d=2.84325 t=1482
zhen chou 	真丑	c=1 d=1 t=14770
zhen de 	真的	c=9 d=2.80977 t=23574
zhen de shi 	真的是	c=2 d=1 t=16091
zhen dui 	針對	c=5 d=1 t=24220
zhen hui 	真會	c=1 d=1 t=2564
zhen ren 	真人	c=1 d=1 t=7916
zhen shi 	真實	c=4 d=1 t=25098
zhen shi 	真是	c=3 d=1 t=6719
zhen zheng 	真正	c=5 d=1 t=22709
zheng 	掙	c=3 d=2.80562 t=7123
zheng 	整	c=2 d=1 t=6006
zheng 	正	c=1 d=1 t=18870
zheng 	爭	c=1 d=1 t=6870
zheng 	證	c=1 d=0.1 t=14809
zheng ce 	政策	c=1 d=1 t=24140
zheng chang 	正常	c=13 d=1 t=23287
zheng ge 	整個	c=9 d=1.13738 t=24284
zheng hao 	正好	c=4 d=1.04441 t=21954
zheng he 	整合	c=1 d=1 t=10775
zheng li 	整理	c=5 d=1 t=21855
zheng li yi xia 	整理一下	c=1 d=1 t=7224
zheng qian 	掙錢	c=3 d=2.44944 t=7153
zheng que 	正確	c=8 d=1.22425 t=28945
zheng ru 	正如	c=2 d=1 t=27024
zheng shi 	正式	c=17 d=0.1 t=28562
zheng shi fu 	正式付	c=1 d=1 t=9179
zheng shi fu 	正式服	c=1 d=1 t=28563
zheng shi huan jing 	正式環境	c=21 d=1.99501 t=28601
zheng shu 	整數	c=14 d=1.17956 t=27660
zheng shu 	正數	c=1 d=1 t=27065
zheng shu 	證書	c=1 d=1 t=12105
zheng ti 	整體	c=1 d=0.1 t=28058
zheng ti xing wei 	整體行爲	c=1 d=1 t=28059
zheng yi 	正義	c=2 d=1.04176 t=13723
zheng yi lian meng 	正義聯盟	c=1 d=1 t=13724
zheng zai 	正在	c=17 d=1 t=23077
zheng ze 	正則	c=3 d=1.04811 t=28172
zheng ze biao da shi 	正則表達式	c=1 d=1 t=12249
zheng zhang 	整張	c=0 d=0.1 t=19763
zheng zhang biao 	整張表	c=1 d=1 t=19764
zhi 	之	c=3 d=1.9802 t=26060
zhi 	值	c=62 d=5.56076 t=27767
zhi 	只	c=39 d=1.18375 t=29136
zhi 	志	c=1 d=1 t=2651
zhi 	指	c=7 d=1.55433 t=28224
zhi 	直	c=1 d=1 t=22227
zhi ban 	值班	c=1 d=1 t=20381
zhi bu guo 	只不過	c=1 d=1 t=20154
zhi chi 	支持	c=13 d=1 t=28416
zhi chong 	直衝	c=39 d=1.99501 t=28938
zhi chu 	支出	c=1 d=1 t=8806
zhi dao 	指導	c=1 d=1 t=4862
zhi dao 	直到	c=3 d=1.39184 t=14323
zhi dao 	知道	c=6 d=1 t=23008
zhi de 	值得	c=1 d=1 t=15245
zhi de shi 	指的是	c=1 d=1 t=25055
zhi ding 	指定	c=7 d=1.98511 t=28065
zhi duo 	至多	c=1 d=1 t=15180
zhi duo shao 	知多少	c=1 d=1 t=19158
zhi fu 	支付	c=3 d=1.00018 t=28158
zhi fu bao 	支付寶	c=4 d=1.31347 t=26401
zhi gong 	職工	c=1 d=1 t=16104
zhi gou 	只夠	c=1 d=1 t=7089
zhi hou 	之後	c=11 d=1.00309 t=23159
zhi hu 	知乎	c=2 d=1 t=27866
zhi ji 	至極	c=1 d=1 t=778
zhi jia gai 	指甲蓋	c=1 d=1 t=1578
zhi jian 	之間	c=18 d=1.00066 t=29231
zhi jie 	直接	c=59 d=1.00023 t=29207
zhi jie 	職介	c=0 d=0.1 t=5193
zhi jie suo 	直接所	c=1 d=1 t=2083
zhi jie suo 	職介所	c=5 d=2.73154 t=6067
zhi lei 	之類	c=1 d=1 t=16695
zhi lian 	直連	c=1 d=1 t=22076
zhi liang 	質量	c=2 d=1.0526 t=27892
zhi ling 	指令	c=11 d=5.7936 t=28053
zhi ming 	指明	c=1 d=1 t=25515
zhi ming 	知名	c=1 d=1 t=272
zhi nei 	之內	c=1 d=1 t=6556
zhi neng 	只能	c=13 d=1.94649 t=27476
zhi neng 	智能	c=1 d=1 t=20114
zhi neng yong 	只能用	c=1 d=1 t=21324
zhi niao ku 	紙尿褲	c=3 d=1.62189 t=8501
zhi peng 	志鵬	c=2 d=1.97531 t=2712
zhi qian 	之前	c=89 d=1.44107 t=29210
zhi shang 	之上	c=1 d=1 t=13266
zhi shi 	只是	c=5 d=1.65051 t=15297
zhi shi 	指示	c=1 d=1 t=1183
zhi shi 	知識	c=1 d=1 t=24274
zhi shi deng 	指示燈	c=1 d=1 t=15094
zhi shi dian 	知識點	c=2 d=1.01253 t=19329
zhi shuo 	只說	c=0 d=0.1 t=5151
zhi shuo gong zuo 	只說工作	c=1 d=1 t=5152
zhi wai 	之外	c=1 d=1 t=28597
zhi xiang 	指向	c=2 d=1 t=24129
zhi xing 	執行	c=22 d=2.77362 t=28066
zhi xing yi xia 	執行一下	c=1 d=1 t=22361
zhi xu yao 	只需要	c=1 d=1 t=7951
zhi yao 	只要	c=5 d=1.31982 t=26815
zhi yi 	之一	c=1 d=1 t=18243
zhi you 	只有	c=30 d=1 t=24919
zhi yu 	至於	c=1 d=1 t=22182
zhi zhan 	之戰	c=1 d=1 t=24545
zhi zhen 	指針	c=1 d=1 t=25516
zhong 	中	c=123 d=2.47262 t=29223
zhong 	種	c=6 d=1 t=22841
zhong 	重	c=1 d=1 t=15960
zhong deng 	中等	c=1 d=1 t=16554
zhong dian 	重點	c=1 d=1 t=9659
zhong duan 	中斷	c=1 d=1 t=19680
zhong duan 	終端	c=27 d=1 t=29513
zhong guo 	中國	c=1 d=1 t=13725
zhong guo xin 	中國心	c=1 d=1 t=7
zhong ji 	終極	c=2 d=1.53259 t=910
zhong ji 	重疾	c=0 d=0.1 t=15989
zhong ji xian 	重疾險	c=1 d=1 t=15990
zhong jian 	中間	c=8 d=1.08116 t=22544
zhong ju 	終局	c=1 d=1 t=24544
zhong lei 	種類	c=1 d=1 t=1292
zhong tai 	中臺	c=1 d=1 t=9954
zhong wen 	中文	c=3 d=1 t=28286
zhong wen shu ru 	中文輸入	c=1 d=1 t=186
zhong wen shu ru fa 	中文輸入法	c=2 d=1.61878 t=185
zhong wu 	中午	c=17 d=1.00002 t=24684
zhong wu yi qi 	中午一起	c=4 d=1 t=9285
zhong wu yi qi chi fan 	中午一起喫飯	c=1 d=1 t=5022
zhong xin 	中心	c=13 d=1 t=29583
zhong xing 	中型	c=1 d=1 t=21088
zhong yang 	中央	c=1 d=1 t=24089
zhong yao 	重要	c=7 d=1.99005 t=24995
zhong ying wen 	中英文	c=1 d=1 t=1552
zhong zhi 	中止	c=1 d=1 t=23107
zhou 	周	c=1 d=1 t=4696
zhou 	軸	c=2 d=1.98511 t=12493
zhou liu 	週六	c=1 d=1 t=22068
zhou mo 	週末	c=11 d=1.0048 t=29475
zhou mo qu 	週末去	c=1 d=1 t=20345
zhou san 	週三	c=1 d=1 t=20517
zhou si 	週四	c=2 d=1 t=10110
zhu 	主	c=13 d=1.13796 t=24004
zhu 	住	c=4 d=3.51258 t=4171
zhu 	煮	c=1 d=1 t=19124
zhu 	註	c=3 d=1.28758 t=13337
zhu ban 	主板	c=1 d=1 t=24015
zhu ce 	註冊	c=25 d=2.81113 t=26120
zhu ce zhong xin 	註冊中心	c=7 d=2.87017 t=28182
zhu cun 	主存	c=12 d=3.01785 t=24663
zhu ji 	主機	c=1 d=1 t=26246
zhu ji ming 	主機名	c=1 d=1 t=51
zhu jian 	主鍵	c=3 d=1 t=17846
zhu jie 	註解	c=1 d=1 t=13865
zhu ming 	著名	c=1 d=1 t=14578
zhu ru 	注入	c=9 d=7.39585 t=23450
zhu shi 	註釋	c=4 d=1 t=23420
zhu ti 	主題	c=9 d=1.99005 t=24996
zhu ti 	主體	c=1 d=1 t=19044
zhu ti 	豬蹄	c=1 d=1 t=355
zhu yao 	主要	c=13 d=1.86938 t=26489
zhu yao shi 	主要是	c=2 d=1 t=23992
zhu yi 	注意	c=15 d=1 t=26905
zhu yuan 	住院	c=3 d=1 t=15938
zhua 	抓	c=2 d=1.97531 t=2868
zhuan 	轉	c=10 d=1.00001 t=28648
zhuan fa 	轉發	c=2 d=1 t=27210
zhuan hua 	轉化	c=2 d=1 t=23618
